isReoccurring,isReoccuring_manual,title,catalog,Veranstaltungsart,Langtext,Veranstaltungsnummer,Kurztext,Semester,SWS,Erwartete Teilnehmer,Max. Teilnehmer,Credits,Credits_manual,Belegung,Zeitfenster,Hyperlink,Weitere Links,Sprache,Belegungsfristen,,Tag,Zeit,Rhythmus,Dauer,Raum,Raum- plan,Status,Location,Bemerkung,fällt aus am,Max. Teilnehmer,Zuständigkeit,Ausgeschlossen_Ingenieurwissenschaften_Bachelor,Ausgeschlossen_manual,Exam,Graded,total,# ratings,fairness,support,material,comprehensibility,fun,interesting,grade/effort,recommendation (0-100),link
false,false,Climate Change Fiction,BNE,Seminar,,,,WiSe 2019/20,2,5,5,3 - 4,3;4,Belegpflicht,,,Studium liberale im IOS (Modul E3),Englisch,E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59,;Studium liberale (E3);,Mi.;,14:00 bis 16:00;,wöch.;,von 16.10.2019;,;,;,;,Essen,E - R12 T04 E96;,;,;,;,-,2-Fach GeiWi;KuWi (Englisch),Klausur;Essay,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332859&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
true,true,"Diversität: Ethnie, Religion, Geschlecht, Klasse",BNE,E-Learning,,,,WiSe 2019/20,,20,20,3 - 3,3,Belegpflicht,,,Studium liberale im IOS (Modul E3),Türkisch,E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;Studium liberale (E3);,Mo.;,10:00 bis 12:00;,wöch.;,von 14.10.2019;,;,;,;,online,online;,;,;,;,Bauingenieurwesen;Komedia,2-Fach GeiWI;KuWi (Türkisch);Chemie;BauIng;Innopren;Komedia;M_AEM;TWM,Schriftliche Ausarbeitung,no,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332536&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,Politische Ökologie interaktiv: Simulation - Reflektion - Modifikation,BNE,Blockseminar,,,,WiSe 2019/20,0,30,30,2 - 4,2;4,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Abmelden Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;;;Studium liberale (E3);;;;,Di.;-.;-.;Sa.;-.;Sa.;,14:00 bis 16:00;10:00 bis 15:00;10:00 bis 15:00;10:00 bis 15:00;10:00 bis 15:00;10:00 bis 15:00;,EinzelT;Block+SaSo;Block+SaSo;EinzelT;Block+SaSo;EinzelT;,am 12.11.2019;30.11.2019 bis 01.12.2019;11.01.2020 bis 12.01.2020;am 16.11.2019;14.12.2019 bis 15.12.2019;am 18.01.2020;,;;;;;;,;;;;;;,;;;;;;,Duisburg (L/M),D - SE 407  Vorbesprechung;E - SM 102;E - SM 102;E - SM 102;E - SM 102;E - SM 102;,;;;;;;,;;;;;;,;;,-,2-Fach GeiWi,Schriftliche Ausarbeitung;Präsentation,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332510&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
true,true,Internationale Beziehungen und Global Governance,BNE,Vorlesung,,,,WiSe 2019/20,2,20,20,4 - 4,4,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;Studium liberale (E3);,Mi.;,16:00 bis 18:00;,wöch.;,von 16.10.2019;,;,;,;,Duisburg (L/M),D - LX 1203;,;,;,;;,-,GesWi;MOAS (Soz);MOAS (PW),Mündliche Prüfung,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332591&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,Political Economy of Inequality,BNE,Seminar,,,,WiSe 2019/20,,,10,6 - 6,6,Belegpflicht,,,Studium liberale im IOS (Modul E3),Englisch,E3 Abmelden Sem 25.09.2019 16:00:00 - 31.03.2020 23:59:59 aktuell,;;;;Studium liberale (E3);;;;Institut für Optionale Studien IOS;,Di.;Di.;Di.;Di.;Di.;Di.;Di.;,14:00 bis 16:00;14:00 bis 17:00;14:00 bis 18:00;14:00 bis 15:00;14:00 bis 17:00;14:00 bis 17:00;14:00 bis 18:00;,EinzelT;EinzelT;EinzelT;EinzelT;EinzelT;EinzelT;EinzelT;,am 15.10.2019;am 12.11.2019;am 14.01.2020;am 28.01.2020;am 05.11.2019;am 19.11.2019;am 21.01.2020;,;;;;;;;,;;;;;;;,;;;;;;;,Duisburg (L/M),D - LK 051;D - SG U113;D - SG U113;D - SG U113;D - SG U113;D - SG U113;D - SG U113;,;;;;;;;,;;;;;;;,;,Komedia,WiWi;BWL (MSM);BWL (WiWi);Komedia;KuWi;MOAS (Wi);Wi-Mathe,Schriftliche Ausarbeitung;Präsentation,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=337835&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
true,true,Bildungsforschung und soziale Ungleichheit im Bildungswesen,BNE,Vorlesung,,,,WiSe 2019/20,2,10,10,4 - 4,4,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;Studium liberale (E3);,Di.;,10:00 bis 12:00;,wöch.;,von 15.10.2019;,;,;,;,Essen,findet im Cinemax statt;,;,;,;,-,BiWi;GesWi;MOAS (Soz);MOAS (PW),Klausur,yes,2.32,5,3.33,2.00,2.0,2.8,1.8,2.0,3.8,40,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332570&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,Nachhaltigkeit im Unterricht?! - Berufsbildung für nachhaltige Entwicklung,BNE,Seminar,,,,WiSe 2019/20,2,5,5,2 - 2,2,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59,;Studium liberale (E3);,Fr.;,10:00 bis 12:00;,wöch.;,von 18.10.2019;,;,;,;,Essen,E - S06 S01 A21;,;,;,;,-,BiWi,Schriftliche Ausarbeitung,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332860&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,false,"Electricity, District Heating, Renewable Energy",BNE,Vorlesung/Übung,,,,WiSe 2019/20,4,8,8,6 - 6,6,Belegpflicht,,,Studium liberale im IOS (Modul E3),Englisch,E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;Studium liberale (E3);;Institut für Optionale Studien IOS;,Mo.;Do.;,10:00 bis 12:00;14:00 bis 16:00;,wöch.;wöch.;,von 14.10.2019;von 17.10.2019;,;;,;;,;;,Essen,E - WST-A.12.04 (Vorlesung);E - A-003 (Übung);,;;,8;8;,;;;,ISE;Komedia;Maschinenbau,WiWi;BWL (MSM);BWL (WiWi);Energy;ISE;Komedia;KuWi;Maschinenbau;MOAS (Wi);Wi-Mathe;,Klausur,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=337903&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
true,true,Umweltökonomik und erneuerbare Energien,BNE,Vorlesung/Übung,,,,WiSe 2019/20,2,5,5,6 - 6,6,Belegpflicht,,,Studium liberale im IOS (Modul E3);Homepage des Lehrstuhls Umweltökonomik,Deutsch,E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;Studium liberale (E3);,Mo.;,14:00 bis 16:00;,wöch.;,von 14.10.2019;,;,;,;,Essen,E - A-102;,;,;,;,Komedia,WiWi;BWL (MSM);BWL (WiWi);Komedia;KuWi;MOAS (Wi);Wi-Mathe,Klausur,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=332775&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
false,true,Einführung in die Energiewissenschaft,BNE,Vorlesung/Übung,,,,WiSe 2019/20,6,5,5,6 - 6,6,Belegpflicht,,,Studium liberale im IOS (Modul E3),Deutsch,E3 Direkte Zulassung/Warteliste KW42 25.09.2019 16:00:00 - 07.10.2019 09:00:00;E3 Abmelden KW42 07.10.2019 09:00:01 - 31.03.2020 23:59:59 aktuell;E3 Zwischenabmeldung 24.09.2019 09:30:01 - 25.09.2019 15:59:59;E3 Losfrist 18.09.2019 10:30:00 - 24.09.2019 09:30:00,;;Studium liberale (E3);;Institut für Optionale Studien IOS;,Di.;Mi.;Fr.;,14:00 bis 16:00;10:00 bis 12:00;14:00 bis 16:00;,wöch.;wöch.;wöch.;,von 15.10.2019;von 16.10.2019;von 18.10.2019;,;;;,;;;,;;;,Duisburg (L/M),VO 1: D - MG 272;ÜB: D - MG 367 (Gruppe 1) oder MC 231 (Gruppe 2);VO 2: D - MG 272;,;;;,5;5;5;,;;;,Bauingenieurwesen;Elektrotechnik und Informationstechnik;ISE;Maschinenbau;Medizintechnik;Nano Engineering;Wirtschaftsingenieurwesen,Bio;Chemie;Physik;BauIng;EIT;ISE;Maschinenbau;Medizintechnik;NanoEng;Wi-Ing,Klausur,yes,,,,,,,,,,,https://campus.uni-due.de/lsf/rds;jsessionid=16A7FF6C92029935D67D88C028E47A90.pas082cm?state=verpublish&status=init&vmfile=no&publishid=337828&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
